script	import	resolved
apps/server/scripts/check_telegram_health.ts	@prisma/client	SKIP
apps/server/scripts/check_users.ts	@prisma/client	SKIP
apps/server/scripts/debug_orphans.ts	./src/services/prisma	MISSING
apps/server/scripts/inspect-db.js	@prisma/client	SKIP
apps/server/scripts/migrate_inventory.ts	@prisma/client	SKIP
apps/server/scripts/migrate_inventory.ts	ulid	SKIP
apps/server/scripts/migrate_leads.ts	@prisma/client	SKIP
apps/server/scripts/migrate_leads.ts	ulid	SKIP
apps/server/scripts/patch_nav_leads.ts	../src/services/prisma.js	MISSING
apps/server/scripts/patch_nav_leads.ts	../src/modules/Core/system/defaults.js	MISSING
apps/server/scripts/qa_smoke.ts	@prisma/client	SKIP
apps/server/scripts/qa_smoke.ts	../src/modules/telegram/utils/miniappPayload.js	MISSING
apps/server/scripts/qa_smoke.ts	../src/modules/normalization/normalizeBrand.js	MISSING
apps/server/scripts/seed_definitions.ts	@prisma/client	SKIP
apps/server/scripts/seed_definitions.ts	fs/promises	SKIP
apps/server/scripts/seed_definitions.ts	path	SKIP
apps/server/scripts/seed_definitions.ts	url	SKIP
apps/server/scripts/seed_showcase.ts	@prisma/client	SKIP
apps/server/scripts/sync_bot_presets.ts	axios	SKIP
apps/server/scripts/sync_bot_presets.ts	@prisma/client	SKIP
apps/server/scripts/sync_bot_presets.ts	../src/services/prisma.js	MISSING
apps/server/scripts/sync_bot_presets.ts	../src/services/templatePreset.service.js	MISSING
apps/server/scripts/sync_bot_presets.ts	../src/modules/Communication/telegram/core/utils/miniappUrl.js	MISSING
apps/server/scripts/test_parser.ts	../src/modules/Integrations/mtproto/mtproto.service	OK
apps/server/scripts/test_parsing_service.ts	../src/modules/Integrations/parsing/parsing.service	OK
apps/server/scripts/update_enum.ts	@prisma/client	SKIP
apps/server/scripts/verify_routes.ts	express	SKIP
apps/server/scripts/verify_routes.ts	../src/routes/apiRoutes	OK
apps/server/scripts/verify_routes.ts	../src/routes/entityRoutes	OK
apps/server/scripts/verify_routes.ts	../src/routes/publicRoutes	OK
apps/server/scripts/verify_routes.ts	../src/routes/qaRoutes	OK
apps/server/src/scripts/cleanupScenarios.ts	../services/prisma.js	MISSING
apps/server/src/scripts/cleanupScenarios.ts	../seeds/scenarioPack.js	MISSING
apps/server/src/scripts/mtproto_qa.ts	../services/enhanced-parsing.utils.js	MISSING
apps/server/src/scripts/seedTemplates.ts	../services/prisma.js	MISSING
apps/server/src/scripts/seedTemplates.ts	../seeds/scenarioPack.js	MISSING
apps/server/src/scripts/seed_entities.ts	../services/prisma.js	MISSING
apps/server/src/scripts/seed_entities.ts	dotenv	SKIP
